full_name,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_home,minutes_played_away,nationality,appearances_home,appearances_away,age,minutes_played_overall,appearances_overall,goals_overall,assists_overall,penalty_goals,penalty_misses,conceded_overall,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_overall,rank,goals_home,goals_away,assists_home,assists_away,clean_sheets_home,clean_sheets_away,conceded_home,conceded_away,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer,rank_frac,rank_in_league_top_Strikers,rank_in_league_top_Strikers,rank_in_league_top_attackers
Stefan Marius Johansen,663292800,08-01-91,Premier League,2018/2019,Striker,Fulham,130,282,Norway,5,7,30,412,12,0,0,0,0,11,4,0,0,0,0,0,-1,0,0,0,0,0,0,1,10,0,0,0,2.4,37,34,103,0,0.87,24,-1,-1,401,318
Kevin McDonald,594604800,04-11-88,Premier League,2018/2019,Striker,Fulham,399,443,Scotland,8,7,32,842,15,0,0,0,0,25,6,1,0,0,0,0,-1,0,0,0,0,0,0,12,13,0,0,0,2.67,34,56,140,0,0.64,25,-1.727272727,-1,410,317
Sebastian Prödl,551232000,21-06-87,Premier League,2018/2019,Striker,Watford,0,13,Austria,0,1,33,13,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,22,1,-1,-1,-1
James McCarthy,658368000,12-11-90,Premier League,2018/2019,Striker,Everton,14,0,Republic of Ireland,1,0,30,14,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,22,1,-1,-1,-1
Emerson Hyndman,829008000,09-04-96,Premier League,2018/2019,Striker,AFC Bournemouth,0,37,USA,0,1,25,37,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4.86,19,37,0,0,0,14,0.181818182,-1,-1,-1
Demeaco Duhaney,908236800,13-10-98,Premier League,2018/2019,Striker,Huddersfield Town,46,0,England,1,0,22,46,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,17,1,-1,-1,-1
Fousseni Diabaté,813974400,18-10-95,Premier League,2018/2019,Striker,Leicester City,0,55,Mali,0,1,25,55,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.64,55,55,0,0,0,22,0.090909091,-1,-1,-1
John Ruddy,530496000,24-10-86,Premier League,2018/2019,Striker,Wolverhampton Wanderers,90,0,England,1,0,34,90,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,90,0,0,0,17,1,-1,-1,-1
Julián Speroni,295833600,18-05-79,Premier League,2018/2019,Striker,Crystal Palace,0,90,Argentina,0,1,41,90,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,30,90,0,0,0,15,0.272727273,-1,-1,-1
Joel Coleman,812073600,26-09-95,Premier League,2018/2019,Striker,Huddersfield Town,0,90,England,0,1,25,90,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,90,0,0,0,16,0.090909091,-1,-1,-1
